Name,Contact_No,Crime_Type,Intensity_Level,Witness_Info,Location,Latitude,Longitude,Timestamp,Description
User_632,03312255068,Motorcycle Theft,Medium,[],Hazara Town Area,30.155313,66.939957,2024-01-01T02:47:00,Motorcycle lock broken at market parking.
User_586,03161529841,Robbery,Critical,"[{""Name"": ""Witness_32"", ""Contact_No"": ""03119947889""}, {""Name"": ""Witness_99"", ""Contact_No"": ""03409855363""}, {""Name"": ""Witness_48"", ""Contact_No"": ""03371687161""}, {""Name"": ""Witness_25"", ""Contact_No"": ""03444219540""}, {""Name"": ""Witness_12"", ""Contact_No"": ""03337101540""}]",Nawa Killi Area,30.24699,67.005167,2024-01-01T15:51:00,Armed individuals looted the shop.
User_940,03241589115,Mobile Snatching,Low,[],Satellite Town Area,30.243966,67.002047,2024-01-01T23:15:00,Phone snatched by two riders on a bike.
User_973,03354174858,Mobile Snatching,Medium,"[{""Name"": ""Witness_83"", ""Contact_No"": ""03159045393""}]",Cantonment Area,30.176558,67.038494,2024-01-02T06:02:00,Phone snatched by two riders on a bike.
User_830,03455910715,Mobile Snatching,Low,"[{""Name"": ""Witness_37"", ""Contact_No"": ""03279267126""}]",Zarghoon Road Area,30.197608,67.006823,2024-01-02T22:59:00,Victim robbed of mobile while walking.
User_800,03256845410,Car Theft,Medium,[],Hazara Town Area,30.179573,66.952351,2024-01-03T16:39:00,Parked vehicle stolen overnight.
User_993,03491806577,Robbery,High,"[{""Name"": ""Witness_33"", ""Contact_No"": ""03127699181""}, {""Name"": ""Witness_99"", ""Contact_No"": ""03183222004""}, {""Name"": ""Witness_76"", ""Contact_No"": ""03156928569""}, {""Name"": ""Witness_62"", ""Contact_No"": ""03463271016""}]",Hazara Town Area,30.185214,66.947901,2024-01-03T17:29:00,Victim intercepted and robbed at gunpoint.
User_193,03425188137,Mobile Snatching,Medium,[],Hazara Town Area,30.181513,66.9375,2024-01-04T10:11:00,Phone snatched by two riders on a bike.
User_430,03165484328,Car Theft,Medium,[],Cantonment Area,30.184323,67.049261,2024-01-05T07:01:00,Parked vehicle stolen overnight.
User_658,03207889687,Mobile Snatching,High,"[{""Name"": ""Witness_48"", ""Contact_No"": ""03494376314""}, {""Name"": ""Witness_37"", ""Contact_No"": ""03324678807""}, {""Name"": ""Witness_93"", ""Contact_No"": ""03469767293""}, {""Name"": ""Witness_62"", ""Contact_No"": ""03472899781""}]",Jinnah Road Area,30.210891,66.985849,2024-01-05T09:46:00,Phone snatched by two riders on a bike.
